805 805
578 579 1.091422
578 581 0.437353
579 581 2.154285
579 586 0.110318
579 589 2.045274
580 584 -1.116062
581 586 -0.625510
581 591 -0.271222
582 585 -0.325728
584 585 0.028560
585 590 1.581974
585 595 -0.516498
585 597 -0.461993
585 600 0.628123
586 589 0.164824
586 591 -0.789027
586 592 -0.134958
587 588 2.699343
588 593 1.036917
588 594 2.045274
589 592 -0.407487
590 598 0.900652
590 600 1.854503
590 603 1.718239
590 607 0.846146
591 592 -1.443097
592 601 0.464606
593 594 0.464606
593 596 0.655376
593 599 0.682629
594 599 -0.053199
594 610 -0.025946
595 600 1.064170
596 599 -0.407487
596 602 0.737135
597 600 0.464606
598 603 -0.461993
600 606 0.192077
600 607 0.682629
602 604 -0.625510
603 607 -0.898039
605 608 1.064170
605 609 1.091422
606 608 1.282193
606 609 -0.407487
608 609 1.663733
611 612 0.273836
612 613 1.418457
612 621 -0.271222
612 622 -0.162211
612 625 0.164824
613 614 -1.170568
613 621 0.519112
613 627 -0.680016
613 629 -0.407487
613 636 0.628123
613 637 1.336698
614 615 -0.952545
614 616 -1.661120
614 617 0.764388
614 620 1.009664
614 627 -1.061556
